Open,High,Low,Close,Adj Close,Volume
97.0,97.5,96.75,97.25,97.25,0
97.25,97.25,97.0,97.25,97.25,138167
97.25,97.25,96.75,96.75,96.75,244626
96.75,97.25,96.75,97.0,97.0,306125
97.0,97.25,96.75,97.0,97.0,430739
97.0,97.0,96.5,96.75,96.75,539305
97.25,97.5,97.0,97.25,97.25,212462
97.25,97.5,97.0,97.25,97.25,211263
97.25,97.25,97.0,97.25,97.25,31452
97.25,97.25,97.0,97.25,97.25,254418
97.25,97.25,97.0,97.25,97.25,105753
97.0,97.25,97.0,97.0,97.0,69277
97.0,97.0,96.75,96.75,96.75,0
96.75,97.0,96.75,97.0,97.0,177334
96.75,97.0,96.75,97.0,97.0,180098
97.0,97.25,96.75,96.75,96.75,368171
97.0,97.25,96.75,97.0,97.0,734231
97.0,97.25,97.0,97.25,97.25,179423
96.5,97.0,96.25,96.5,96.5,0
96.5,97.0,96.25,96.75,96.75,541284
96.75,96.75,96.5,96.75,96.75,295894
96.75,97.0,96.5,96.75,96.75,556501
96.75,96.75,96.25,96.5,96.5,770485
96.25,96.5,96.25,96.25,96.25,837769
96.5,96.75,96.25,96.5,96.5,298414
96.5,96.75,96.25,96.5,96.5,320680
96.5,96.75,96.25,96.5,96.5,80086
96.5,97.0,96.5,96.75,96.75,230720
96.75,96.75,96.5,96.75,96.75,187313
96.75,97.0,96.5,97.0,97.0,135996
97.0,97.25,96.75,97.0,97.0,0
97.0,97.0,96.75,97.0,97.0,309115
97.0,97.0,96.75,97.0,97.0,25679
97.0,97.25,96.75,97.0,97.0,410186
97.0,97.25,96.75,96.75,96.75,495569
96.75,97.0,96.75,97.0,97.0,41762
97.25,97.5,97.0,97.5,97.5,0
97.25,97.5,97.25,97.5,97.5,319265
97.5,97.5,97.25,97.5,97.5,89417
97.25,97.75,97.25,97.75,97.75,371523
97.75,97.75,97.5,97.75,97.75,427390
97.75,98.0,97.5,98.0,98.0,356413
97.5,97.5,97.0,97.25,97.25,0
97.25,97.5,97.0,97.25,97.25,312520
97.25,97.25,97.0,97.25,97.25,110034
97.25,97.25,97.0,97.25,97.25,85514
97.25,97.25,97.0,97.25,97.25,187452
97.0,97.25,97.0,97.0,97.0,576607
97.25,97.5,97.0,97.25,97.25,0
97.5,97.75,97.25,97.75,97.75,332377
97.5,97.5,97.25,97.5,97.5,173412
97.5,97.75,97.25,97.5,97.5,155349
97.5,97.75,97.5,97.75,97.75,248105
97.75,97.75,97.25,97.5,97.5,127406
97.5,97.75,97.25,97.5,97.5,0
97.5,97.75,97.25,97.5,97.5,119145
97.5,97.75,97.25,97.75,97.75,177648
97.75,97.75,97.25,97.5,97.5,305293
97.5,97.75,97.25,97.75,97.75,483638
97.75,97.75,97.25,97.75,97.75,155514
98.0,98.0,97.75,97.75,97.75,0
97.75,98.0,97.75,98.0,98.0,171784
98.0,98.25,97.75,98.25,98.25,311132
98.0,98.5,98.0,98.25,98.25,764720
98.25,98.5,98.0,98.0,98.0,247793
98.0,98.5,98.0,98.5,98.5,760495
98.5,98.5,98.0,98.25,98.25,0
98.25,98.25,98.0,98.25,98.25,198286
98.0,98.25,97.75,98.0,98.0,232761
98.0,98.25,98.0,98.0,98.0,88695
98.0,98.25,98.0,98.0,98.0,262030
98.0,98.5,98.0,98.0,98.0,211109
98.0,98.5,98.0,98.25,98.25,379763
