Open,High,Low,Close,Adj Close,Volume
20377.619140625,20440.919921875,20293.44921875,20298.009765625,20298.009765625,0
20334.5390625,20378.75,20288.740234375,20373.859375,20373.859375,0
20333.359375,20377.23046875,20313.23046875,20320.609375,20320.609375,0
20325.900390625,20481.3203125,20324.619140625,20467.009765625,20467.009765625,0
20475.099609375,20479.140625,20408.970703125,20421.060546875,20421.060546875,0
20417.05078125,20465.490234375,20377.4296875,20445.740234375,20445.740234375,0
20433.779296875,20463.669921875,20392.849609375,20448.619140625,20448.619140625,0
20435.619140625,20463.2109375,20395.94921875,20443.830078125,20443.830078125,0
20443.900390625,20469.640625,20387.509765625,20400.919921875,20400.919921875,0
20445.970703125,20464.23046875,20380.44921875,20392.80078125,20392.80078125,0
20431.73046875,20431.73046875,20431.73046875,20431.73046875,20431.73046875,0
20412.25,20449.16015625,20387.439453125,20399.080078125,20399.080078125,0
20396.240234375,20456.19921875,20380.919921875,20394.509765625,20394.509765625,0
20416.630859375,20447.5703125,20328.439453125,20346.3203125,20346.3203125,0
20339.51953125,20407.240234375,20322.240234375,20397.2109375,20397.2109375,0
20401.310546875,20408.640625,20335.66015625,20391.1796875,20391.1796875,0
20382.689453125,20390.759765625,20322.640625,20371.580078125,20371.580078125,0
20337.849609375,20391.970703125,20303.44921875,20347.189453125,20347.189453125,0
20383.470703125,20386.580078125,20251.900390625,20322.099609375,20322.099609375,0
20291.720703125,20327.3203125,20236.19921875,20236.19921875,20236.19921875,0
20173.73046875,20249.619140625,20107.630859375,20187.4609375,20187.4609375,0
20188.349609375,20272.330078125,20188.349609375,20201.919921875,20201.919921875,0
20233.490234375,20269.8203125,20181.279296875,20204.849609375,20204.849609375,0
20262.94921875,20262.94921875,20187.2109375,20242.5,20242.5,0
20187.439453125,20278.4609375,20187.439453125,20217.330078125,20217.330078125,0
20206.30078125,20268.859375,20201.400390625,20228.130859375,20228.130859375,0
20263.810546875,20317.0390625,20201.0,20314.720703125,20314.720703125,0
20316.380859375,20346.970703125,20270.919921875,20285.470703125,20285.470703125,0
20245.7109375,20328.05078125,20245.7109375,20304.919921875,20304.919921875,0
20316.330078125,20344.689453125,20262.1796875,20307.109375,20307.109375,0
20306.890625,20306.890625,20306.890625,20306.890625,20306.890625,0
20299.869140625,20324.0390625,20265.830078125,20265.830078125,20265.830078125,0
20280.900390625,20334.150390625,20249.76953125,20263.599609375,20263.599609375,0
20266.900390625,20267.529296875,20200.859375,20214.48046875,20214.48046875,0
20210.310546875,20223.1796875,20160.490234375,20205.130859375,20205.130859375,0
20204.529296875,20241.5390625,20175.1796875,20227.330078125,20227.330078125,0
20284.419921875,20301.400390625,20225.689453125,20225.689453125,20225.689453125,0
20282.689453125,20312.75,20229.849609375,20297.44921875,20297.44921875,0
20297.44921875,20332.990234375,20248.109375,20312.609375,20312.609375,0
20270.44921875,20315.83984375,20250.58984375,20290.109375,20290.109375,0
20204.55078125,20205.630859375,20114.990234375,20148.890625,20148.890625,0
20126.349609375,20219.119140625,20126.349609375,20157.439453125,20157.439453125,0
20172.330078125,20200.0703125,20095.919921875,20095.919921875,20095.919921875,0
20087.359375,20188.400390625,20082.240234375,20123.830078125,20123.830078125,0
20177.4609375,20177.4609375,20085.05078125,20150.009765625,20150.009765625,0
20149.529296875,20152.349609375,20069.859375,20150.0703125,20150.0703125,0
20103.83984375,20172.7109375,20082.16015625,20115.609375,20115.609375,0
20111.439453125,20180.509765625,20098.44921875,20143.939453125,20143.939453125,0
20154.859375,20167.119140625,20087.9609375,20148.140625,20148.140625,0
20167.380859375,20167.380859375,20079.310546875,20147.0703125,20147.0703125,0
20146.6796875,20146.6796875,20146.6796875,20146.6796875,20146.6796875,0
20146.98046875,20163.3203125,20124.740234375,20137.689453125,20137.689453125,0
20142.58984375,20243.220703125,20112.830078125,20239.810546875,20239.810546875,0
20232.349609375,20270.060546875,20217.330078125,20261.490234375,20261.490234375,0
20307.01953125,20345.08984375,20267.2890625,20319.150390625,20319.150390625,0
20310.9609375,20433.380859375,20291.349609375,20433.380859375,20433.380859375,0
20439.599609375,20443.169921875,20331.390625,20364.80078125,20364.80078125,0
20360.25,20377.6796875,20297.51953125,20366.259765625,20366.259765625,0
20362.66015625,20363.259765625,20290.560546875,20301.23046875,20301.23046875,0
20330.779296875,20397.25,20308.669921875,20338.7890625,20338.7890625,0
20156.349609375,20247.390625,20135.880859375,20137.0703125,20137.0703125,0
20138.33984375,20248.490234375,20132.5703125,20233.9609375,20233.9609375,0
20237.16015625,20258.3203125,20175.80078125,20203.560546875,20203.560546875,0
20203.19921875,20268.849609375,20184.890625,20214.029296875,20214.029296875,0
20214.880859375,20286.779296875,20197.560546875,20242.740234375,20242.740234375,0
20226.19921875,20344.16015625,20222.849609375,20318.9609375,20318.9609375,0
20313.23046875,20379.060546875,20298.130859375,20342.48046875,20342.48046875,0
20315.140625,20416.400390625,20297.580078125,20371.0703125,20371.0703125,0
20363.580078125,20423.55078125,20336.98046875,20374.23046875,20374.23046875,0
20372.05078125,20397.94921875,20282.939453125,20351.099609375,20351.099609375,0
20341.0390625,20341.0390625,20341.0390625,20341.0390625,20341.0390625,0
20284.7890625,20327.509765625,20274.91015625,20319.130859375,20319.130859375,0
20323.189453125,20379.4609375,20293.609375,20379.4609375,20379.4609375,0
20363.759765625,20409.259765625,20317.640625,20409.259765625,20409.259765625,0
20357.1796875,20410.310546875,20262.990234375,20267.30078125,20267.30078125,0
20265.810546875,20327.759765625,20265.509765625,20284.83984375,20284.83984375,0
