Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-09 10:00:00,97.0,97.0,96.75,96.75,96.75,14867
15m,2023-11-09 10:15:00,96.75,97.0,96.75,97.0,97.0,245949
15m,2023-11-09 10:30:00,96.75,97.0,96.75,96.75,96.75,50562
15m,2023-11-09 10:45:00,96.75,97.0,96.75,96.75,96.75,2683
15m,2023-11-09 11:00:00,96.75,97.0,96.75,97.0,97.0,72211
15m,2023-11-09 11:15:00,96.75,97.0,96.75,97.0,97.0,73160
15m,2023-11-09 11:30:00,97.0,97.0,96.75,97.0,97.0,7066
15m,2023-11-09 11:45:00,97.0,97.0,96.75,97.0,97.0,24897
15m,2023-11-09 12:00:00,96.75,97.0,96.75,96.75,96.75,20001
15m,2023-11-09 12:15:00,96.75,97.0,96.75,97.0,97.0,160397
15m,2023-11-09 14:15:00,97.0,97.25,96.75,97.0,97.0,301605
15m,2023-11-09 14:30:00,97.0,97.0,96.75,97.0,97.0,61999
15m,2023-11-09 14:45:00,97.0,97.0,96.75,96.75,96.75,4700
15m,2023-11-09 15:00:00,97.0,97.25,97.0,97.0,97.0,210814
15m,2023-11-09 15:15:00,96.75,97.25,96.75,97.25,97.25,163812
15m,2023-11-09 15:30:00,97.25,97.25,97.0,97.25,97.25,73165
15m,2023-11-09 15:45:00,97.25,97.25,97.0,97.0,97.0,286440
15m,2023-11-09 16:00:00,97.0,97.25,97.0,97.25,97.25,26210
15m,2023-11-09 16:15:00,97.0,97.25,97.0,97.25,97.25,153213
15m,2023-11-10 10:00:00,96.5,96.75,96.25,96.5,96.5,565200
15m,2023-11-10 10:15:00,96.5,97.0,96.25,96.75,96.75,280804
15m,2023-11-10 10:30:00,96.75,97.0,96.5,97.0,97.0,563416
15m,2023-11-10 10:45:00,97.0,97.0,96.5,96.5,96.5,325397
15m,2023-11-10 11:00:00,96.5,96.75,96.25,96.75,96.75,106398
15m,2023-11-10 11:15:00,96.75,97.0,96.5,96.75,96.75,281654
15m,2023-11-10 11:30:00,97.0,97.0,96.5,96.75,96.75,133570
15m,2023-11-10 11:45:00,96.75,96.75,96.5,96.75,96.75,19662
15m,2023-11-10 12:00:00,96.75,96.75,96.75,96.75,96.75,54826
15m,2023-11-10 12:15:00,96.75,96.75,96.5,96.75,96.75,241068
15m,2023-11-10 14:15:00,96.75,96.75,96.5,96.75,96.75,90732
15m,2023-11-10 14:30:00,96.75,96.75,96.5,96.75,96.75,5053
15m,2023-11-10 14:45:00,96.5,97.0,96.5,96.75,96.75,460716
15m,2023-11-10 15:00:00,96.75,96.75,96.25,96.5,96.5,277866
15m,2023-11-10 15:15:00,96.5,96.5,96.25,96.5,96.5,31745
15m,2023-11-10 15:30:00,96.5,96.75,96.5,96.75,96.75,390754
15m,2023-11-10 15:45:00,96.75,96.75,96.25,96.5,96.5,70120
15m,2023-11-10 16:00:00,96.25,96.5,96.25,96.25,96.25,737124
15m,2023-11-10 16:15:00,96.25,96.5,96.25,96.25,96.25,100645
15m,2023-11-13 10:00:00,96.5,96.75,96.25,96.5,96.5,102731
15m,2023-11-13 10:15:00,96.5,96.75,96.5,96.5,96.5,27159
15m,2023-11-13 10:30:00,96.5,96.5,96.25,96.5,96.5,87613
15m,2023-11-13 10:45:00,96.5,96.5,96.25,96.5,96.5,80911
15m,2023-11-13 11:00:00,96.5,96.75,96.5,96.5,96.5,90534
15m,2023-11-13 11:15:00,96.5,96.75,96.5,96.5,96.5,167220
15m,2023-11-13 11:30:00,96.5,96.5,96.5,96.5,96.5,19775
15m,2023-11-13 11:45:00,96.5,96.5,96.25,96.5,96.5,43151
15m,2023-11-13 12:00:00,96.5,96.5,96.25,96.5,96.5,35916
15m,2023-11-13 12:15:00,96.5,96.75,96.25,96.5,96.5,44170
15m,2023-11-13 14:15:00,96.5,96.75,96.5,96.75,96.75,40955
